,tweet,tweet_id,language,time&date,retweet,reply,likes,quotes
46,"@KingAdornment Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445571891523590,en,2020-12-19T23:55:03.000Z,0,0,0,0
47,"@Mr_Gods_will @Arsenal Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445550601224193,en,2020-12-19T23:54:58.000Z,0,0,0,0
48,"@david_odunaiya @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445504979824642,en,2020-12-19T23:54:47.000Z,0,0,0,0
49,"@theoloriherself Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445482020200449,en,2020-12-19T23:54:41.000Z,0,0,0,0
50,"@iam_Reedone Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445464131477504,en,2020-12-19T23:54:37.000Z,0,0,0,0
51,"@Aaron__Dauda @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445442568548352,en,2020-12-19T23:54:32.000Z,0,0,0,0
52,"@Abdulqaadyr Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445410511482880,en,2020-12-19T23:54:24.000Z,0,0,0,0
53,"@ssb4real @Arsenal Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445390500458501,en,2020-12-19T23:54:20.000Z,0,0,0,0
54,"@AdulojuAyodeji2 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445355352203272,en,2020-12-19T23:54:11.000Z,0,0,0,0
55,"@syman80 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445319486697473,en,2020-12-19T23:54:03.000Z,0,0,0,0
56,"@Peter17068847 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445286355902465,en,2020-12-19T23:53:55.000Z,0,0,0,0
57,"@Seensee59059464 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445243066507267,en,2020-12-19T23:53:44.000Z,0,0,0,0
58,"@Eeshakimani Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445198816567296,en,2020-12-19T23:53:34.000Z,0,0,0,0
59,"@ManuelUzor Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445173877252096,en,2020-12-19T23:53:28.000Z,0,0,0,0
60,"@ManCatxo Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445140062769153,en,2020-12-19T23:53:20.000Z,0,0,0,0
61,"@16IOS_ Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445120576053250,en,2020-12-19T23:53:15.000Z,0,0,0,0
62,"@MAlatoru Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445098807615493,en,2020-12-19T23:53:10.000Z,0,0,0,0
63,"@LordXharles Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445077898977281,en,2020-12-19T23:53:05.000Z,0,0,0,0
64,"@dariemjnr3 @Tuambee Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444943580540930,en,2020-12-19T23:52:33.000Z,0,0,0,0
65,"@jos_Hoodlum @Tuambee Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444907664715784,en,2020-12-19T23:52:24.000Z,0,0,0,0
66,"@Tuambee Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444501576441859,en,2020-12-19T23:50:48.000Z,0,0,0,0
67,"@Ehbra_makanaki @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444472107278336,en,2020-12-19T23:50:41.000Z,0,0,0,0
68,"@zih_yoda Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444447633453057,en,2020-12-19T23:50:35.000Z,0,0,0,0
69,"@K_O_E_Bros Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444388456079365,en,2020-12-19T23:50:21.000Z,0,0,0,0
70,"@GideonT85810647 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444371129348098,en,2020-12-19T23:50:16.000Z,0,0,0,0
71,"@NicheOla_ Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444353416839168,en,2020-12-19T23:50:12.000Z,0,0,0,0
72,"@olumolawa Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444330457264130,en,2020-12-19T23:50:07.000Z,0,0,0,0
73,"@justtease_4_all Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444295262859264,en,2020-12-19T23:49:58.000Z,0,0,0,0
74,"@poet_Imma Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444276958916611,en,2020-12-19T23:49:54.000Z,0,0,0,0
75,"@thisisFLU Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444254959747072,en,2020-12-19T23:49:49.000Z,0,0,0,0
76,"@_femigrey Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444229705854977,en,2020-12-19T23:49:43.000Z,0,0,0,0
77,"@Ajibola_Ben @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444184608731136,en,2020-12-19T23:49:32.000Z,0,0,0,0
78,"@EbenezerPascal2 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444165587554304,en,2020-12-19T23:49:27.000Z,0,0,0,0
79,"@funnyobelente1 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340444148504154117,en,2020-12-19T23:49:23.000Z,0,0,0,0
80,"@Hayaki49372699 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340443127048495104,en,2020-12-19T23:45:20.000Z,0,0,0,0
81,"@Jamesdominic10 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340443101148659713,en,2020-12-19T23:45:14.000Z,0,0,0,0
82,"@StraightfaceNot @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340443073646616577,en,2020-12-19T23:45:07.000Z,0,0,0,0
83,"@ChiomaMyrrh @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340443047176380416,en,2020-12-19T23:45:01.000Z,0,0,0,0
84,"@cerdeeq7 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340443019204554752,en,2020-12-19T23:44:54.000Z,0,0,0,0
85,"@itz_viTi @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442962052984834,en,2020-12-19T23:44:41.000Z,0,0,0,0
86,"@teegirl_t @TayoADE16 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442936023105538,en,2020-12-19T23:44:34.000Z,0,0,0,0
87,"@TayoADE16 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442905656385538,en,2020-12-19T23:44:27.000Z,0,0,0,0
88,"@muhammadkhassa4 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442877839749131,en,2020-12-19T23:44:20.000Z,0,0,0,0
